year,imd10,sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
2003,10,m,88,7,4,4,6,6,2,2,3,2,4,9,4,2,5,6,2,14,13,16,16,13,12,19,16,11,9,11,10,5,8,12,22,16,15,22,20,20,21,35,47,32,33,39,44,45,53,54,63,46,78,76,85,107,101,174,178,166,142,169,185,173,188,210,231,275,248,281,346,359,346,433,446,512,535
2004,1,m,350,22,18,14,3,2,6,5,5,4,11,7,11,14,8,17,18,22,33,33,27,30,45,56,52,41,46,44,53,56,52,81,64,97,67,83,95,95,97,120,123,128,129,147,136,136,161,169,166,185,184,236,238,261,251,260,319,397,334,362,393,419,451,431,487,562,580,599,641,668,693,679,761,776,809
2004,2,m,286,19,12,10,7,5,3,1,10,3,4,5,5,6,10,8,17,21,17,22,36,20,34,37,33,22,51,34,43,44,32,61,61,48,67,64,72,66,99,88,97,85,106,139,119,108,123,129,135,144,139,161,193,212,219,223,274,273,280,281,310,319,325,316,387,405,464,501,458,538,593,601,644,688,706
2004,3,m,220,15,6,2,4,4,2,1,1,6,6,3,0,9,7,12,10,17,28,18,38,21,30,26,31,41,30,32,31,37,31,47,60,48,44,61,68,69,59,75,87,55,71,79,93,115,84,94,135,131,124,157,175,194,207,225,233,264,227,254,281,295,309,330,335,399,446,405,459,464,488,583,621,682,680
2004,4,m,179,13,7,8,2,3,5,5,1,5,1,3,8,2,8,9,7,26,16,25,17,25,24,34,19,33,21,24,28,31,26,30,41,44,40,49,59,48,44,61,49,64,66,86,80,74,83,96,110,109,137,140,146,158,176,208,217,243,216,228,251,283,300,282,315,374,368,446,442,487,537,532,629,584,665
2004,5,m,107,12,5,5,5,1,2,1,2,1,8,2,7,3,7,10,8,10,27,15,25,19,23,23,27,25,25,21,23,20,33,24,44,25,29,45,39,42,43,50,62,39,61,79,61,80,94,74,87,113,91,114,119,138,162,173,187,254,195,233,238,292,291,305,340,357,372,399,447,448,501,522,545,632,663
2004,6,m,150,12,4,3,4,5,3,3,3,3,4,4,7,5,6,8,11,16,17,23,16,19,24,26,24,25,21,15,22,22,27,33,39,27,28,39,42,45,47,58,44,50,70,68,75,56,75,78,78,83,93,111,110,126,149,174,187,268,208,227,278,286,275,242,319,332,366,399,447,450,456,504,592,617,656
2004,7,m,124,7,3,3,8,2,2,5,4,2,1,2,8,2,6,5,10,10,19,19,26,15,14,15,11,19,14,23,18,22,22,22,25,30,28,30,28,43,33,41,43,43,51,55,64,57,59,71,69,100,94,87,126,96,128,138,190,224,187,232,212,240,281,241,304,317,348,352,428,427,456,436,553,600,627
2004,8,m,111,7,4,4,1,0,4,6,2,4,0,1,0,3,3,7,8,17,13,17,15,17,17,20,12,16,11,19,23,17,23,16,25,22,37,37,37,34,27,26,32,39,47,46,52,60,50,57,70,71,95,100,114,104,130,135,180,202,154,167,232,247,245,216,283,301,351,354,392,464,417,458,519,562,597
2004,9,m,106,8,7,9,2,3,3,4,5,2,4,1,4,1,3,6,8,15,18,14,22,17,17,16,23,14,20,15,9,24,18,10,22,15,17,32,27,29,39,33,42,34,42,28,50,42,45,71,64,70,75,88,94,102,136,124,159,188,174,210,228,219,216,217,251,290,306,311,341,413,417,422,545,573,590
2004,10,m,66,8,3,2,2,0,3,1,3,3,3,1,0,6,8,10,7,9,17,13,14,7,16,10,10,8,7,15,11,8,12,15,20,20,21,20,27,30,22,28,38,34,44,36,38,37,54,65,60,72,76,97,107,89,121,139,131,196,167,150,210,188,231,171,224,247,269,320,314,317,350,386,395,494,487
2005,1,m,367,22,12,5,9,3,6,3,4,2,8,12,8,11,11,7,18,19,33,33,50,50,35,41,43,41,37,38,45,71,59,66,62,95,75,82,83,109,86,92,128,120,143,140,167,157,155,174,214,168,206,224,208,224,252,283,294,340,371,353,388,401,434,473,460,531,580,589,592,603,612,691,683,763,797
2005,2,m,291,20,7,9,9,5,8,8,4,6,4,3,12,4,10,9,12,19,24,30,26,18,34,29,37,36,41,38,22,32,47,44,52,55,63,54,62,78,76,70,93,117,89,132,108,104,120,122,153,146,173,184,177,170,192,216,201,269,316,305,333,314,361,363,373,407,439,461,497,510,518,640,601,675,749
2005,3,m,224,21,6,3,3,5,5,2,1,3,1,6,8,8,11,8,13,25,15,20,22,27,23,35,33,37,31,35,19,35,32,33,42,55,63,61,73,76,74,76,65,89,71,97,78,103,102,114,119,121,150,153,137,145,191,212,214,251,266,248,301,303,280,339,348,339,391,435,421,484,502,540,548,618,678
2005,4,m,180,12,7,10,1,1,3,3,1,3,5,3,3,4,3,9,7,25,16,26,26,19,17,26,23,40,26,24,18,22,41,26,38,37,40,42,55,54,54,62,73,77,62,77,80,91,93,104,103,119,113,125,137,138,158,187,200,227,259,257,249,306,320,292,302,352,372,426,449,459,499,538,571,572,680
2005,5,m,147,13,10,4,2,4,5,3,3,2,2,3,2,7,2,6,7,12,15,20,19,23,21,18,15,27,27,26,26,24,25,24,24,35,39,40,48,54,38,54,65,74,60,67,67,86,78,87,101,80,109,129,141,135,180,168,216,236,250,230,264,284,289,315,299,319,343,421,435,461,469,530,600,629,676
2005,6,m,130,6,4,0,1,5,5,1,3,3,6,1,3,2,3,7,17,23,21,20,19,21,23,18,13,16,20,14,10,15,23,24,25,36,43,44,42,37,40,45,61,57,56,56,61,75,64,81,95,82,90,114,105,134,140,164,172,230,266,208,263,273,280,306,289,328,382,360,415,427,479,505,517,614,624
2005,7,m,140,8,7,2,3,4,4,1,2,2,0,4,6,4,4,7,7,10,26,9,12,15,25,19,16,13,20,17,15,13,20,15,29,23,29,31,32,42,43,35,32,47,67,55,50,86,77,73,82,94,87,108,143,104,109,152,156,202,237,222,243,251,253,303,278,306,365,345,382,411,425,470,510,568,666
2005,8,m,110,7,8,3,2,4,5,2,5,2,6,3,4,4,11,8,11,21,18,17,11,26,14,14,17,12,15,13,12,18,24,16,20,26,18,31,35,34,30,41,33,33,39,63,61,53,67,69,54,81,82,71,96,115,107,119,158,180,215,204,240,234,269,216,265,312,313,358,382,361,439,445,526,544,518
2005,9,m,106,8,3,7,5,1,1,2,2,2,1,4,2,6,4,4,7,15,22,18,16,12,18,21,11,21,8,11,14,23,13,19,25,17,22,19,35,34,36,23,35,37,41,44,50,42,50,58,61,78,64,87,97,114,111,140,138,171,225,190,212,235,232,212,232,261,255,328,361,385,405,429,475,484,574
2005,10,m,79,6,3,6,1,1,3,1,2,2,2,6,7,5,5,8,7,10,12,27,15,14,15,10,13,21,11,15,16,9,16,20,18,22,27,16,18,14,29,34,26,34,39,42,32,49,50,47,63,73,74,74,86,91,97,115,140,182,189,184,210,197,209,182,211,236,257,283,305,337,352,377,413,451,531
2006,1,m,393,31,16,8,5,6,8,4,8,13,4,5,8,9,11,10,20,19,35,43,50,40,53,38,47,40,46,48,47,50,50,62,69,72,74,89,102,103,117,103,116,130,138,157,160,154,170,176,178,196,169,223,229,254,255,308,300,316,368,398,373,399,413,453,463,459,542,620,566,619,618,663,684,685,751
2006,2,m,292,25,4,3,5,4,0,4,1,4,4,11,5,8,9,16,15,18,19,30,33,29,30,24,26,50,24,28,25,31,45,49,64,51,60,61,80,85,63,82,77,110,103,101,114,116,128,135,129,157,163,172,193,214,216,223,273,284,286,310,316,336,341,370,368,362,392,436,486,517,550,535,581,623,671
2006,3,m,223,14,9,5,5,6,2,3,3,4,3,2,3,3,3,11,16,19,30,13,18,29,39,28,24,34,35,43,31,32,32,31,45,53,57,55,48,66,68,67,67,88,80,104,95,95,89,114,110,146,147,153,155,166,180,181,238,224,265,327,287,321,315,325,342,325,419,442,483,468,516,512,544,535,658
2006,4,m,166,8,6,7,3,3,2,4,1,5,4,4,2,6,8,11,3,21,16,24,31,28,33,26,24,23,24,35,28,31,31,25,40,34,45,57,45,53,54,72,66,67,77,79,73,90,86,95,132,94,130,107,130,160,169,183,190,242,257,286,261,282,315,292,337,336,395,408,448,488,462,545,550,566,587
2006,5,m,138,10,8,4,1,4,2,3,8,3,4,7,2,4,11,5,8,15,24,17,17,13,16,26,20,22,16,16,19,31,21,24,33,28,31,38,37,46,54,55,45,58,60,52,91,68,98,80,92,93,92,121,114,138,156,171,204,224,258,277,245,293,316,343,315,354,368,399,415,437,437,511,496,600,617
2006,6,m,127,9,6,2,6,4,0,1,2,3,7,2,4,10,2,4,12,17,19,19,22,8,19,18,24,18,25,15,16,29,16,31,29,25,22,49,34,30,46,38,59,58,64,54,61,70,85,79,92,86,113,119,124,129,127,127,173,211,239,248,211,286,262,296,300,308,321,344,427,416,466,461,502,536,624
2006,7,m,118,7,0,3,5,3,4,1,3,3,4,6,7,8,4,3,6,19,12,22,21,25,19,13,16,14,17,26,18,15,22,25,27,25,22,26,28,30,33,37,49,41,45,51,53,72,63,64,86,86,105,82,98,136,110,135,162,182,219,253,241,269,277,271,266,280,330,360,387,372,432,439,477,538,559
2006,8,m,108,7,9,5,3,2,2,1,5,7,4,1,0,3,1,5,12,21,15,15,11,10,20,18,12,23,19,21,9,23,21,18,12,27,24,26,26,23,37,37,34,33,37,44,55,62,46,67,64,71,61,95,106,100,130,136,156,170,200,219,240,239,261,295,246,296,290,326,372,361,399,461,500,516,573
2006,9,m,111,8,5,3,2,2,5,3,3,3,3,2,3,5,6,3,15,14,16,16,11,17,14,13,13,15,11,24,16,8,20,17,17,18,33,21,43,26,23,42,39,41,37,43,57,44,57,68,73,75,79,85,78,99,116,119,143,174,178,234,235,216,260,274,251,229,273,301,321,351,405,458,478,459,506
2006,10,m,86,8,3,3,3,1,2,3,4,1,3,3,7,4,5,3,10,11,12,12,7,9,5,13,12,15,12,13,14,12,15,21,21,15,16,16,18,22,22,21,31,32,37,43,45,43,41,54,53,54,64,80,77,85,108,109,133,134,183,176,186,201,217,204,210,228,239,244,306,318,369,405,428,441,486
2007,1,m,371,30,16,12,6,6,7,7,9,11,3,4,7,14,10,14,18,20,24,29,27,33,38,44,41,41,50,52,51,51,55,62,62,81,87,91,80,85,94,119,131,130,146,123,157,146,162,162,176,187,196,195,236,231,269,278,312,318,384,371,388,403,464,442,478,475,484,501,611,601,615,575,658,693,726
2007,2,m,262,16,13,5,8,7,2,6,5,1,3,5,4,9,9,9,16,20,17,32,34,43,38,30,35,43,34,31,42,46,50,48,46,52,54,70,71,81,70,83,100,95,109,99,99,111,124,116,151,135,170,164,159,208,197,222,249,236,299,303,323,356,362,350,434,398,407,438,449,504,525,525,581,582,659
2007,3,m,269,18,8,7,1,3,8,2,2,6,2,5,3,2,8,9,11,16,22,21,20,28,20,24,24,28,31,33,37,23,27,34,42,52,50,61,72,58,63,71,64,79,94,105,91,128,108,104,117,135,119,139,141,172,185,168,201,213,257,277,313,305,320,325,325,361,336,414,439,466,442,490,567,545,605
2007,4,m,179,17,15,8,7,2,0,3,5,1,1,4,3,4,4,9,12,16,24,20,24,28,31,13,29,27,34,30,38,25,34,25,54,35,39,47,51,51,54,54,61,64,74,74,82,99,99,104,95,133,109,133,142,151,183,192,190,181,228,250,294,295,292,323,341,323,376,372,392,499,447,534,493,508,605
2007,5,m,147,12,6,5,8,5,7,2,3,4,3,1,6,2,8,13,11,21,11,25,20,17,21,25,29,25,21,22,29,21,32,29,29,23,31,24,58,50,53,51,59,58,57,68,81,72,77,90,90,78,91,116,118,168,142,181,180,187,251,254,309,264,316,321,354,333,337,365,420,465,435,480,506,531,564
2007,6,m,129,14,7,6,4,1,2,3,6,2,3,4,2,3,4,5,9,15,21,10,25,19,17,25,22,15,22,19,21,24,20,30,32,27,31,32,24,31,35,41,44,42,61,67,62,63,61,64,92,102,82,85,115,116,133,156,165,193,207,269,276,257,278,297,320,307,326,365,402,438,466,512,517,534,607
2007,7,m,96,5,8,1,2,0,2,1,3,0,2,3,4,7,3,9,7,11,17,22,23,22,21,19,19,11,14,16,23,20,16,22,16,21,31,38,29,27,34,32,37,51,55,43,56,58,69,77,74,90,79,97,102,113,116,156,156,180,185,243,256,273,295,296,289,323,309,345,421,422,429,454,496,547,560
2007,8,m,132,13,4,2,2,1,3,2,3,1,1,4,5,2,3,6,5,13,15,13,16,16,18,16,16,20,12,16,13,14,19,17,24,17,27,21,34,22,37,37,27,26,53,44,51,47,67,56,60,74,88,84,82,122,102,127,157,152,196,235,265,211,244,275,246,301,279,321,377,364,413,419,437,474,535
2007,9,m,87,5,7,3,2,4,3,1,2,4,0,5,1,6,6,7,12,12,18,10,15,16,10,13,13,14,13,17,16,12,13,17,24,23,22,25,18,25,32,41,46,33,50,52,39,57,55,69,51,58,71,76,78,102,105,119,147,165,167,213,233,222,251,268,272,261,274,309,333,340,376,403,452,466,473
2007,10,m,79,4,7,3,4,4,2,1,1,3,1,0,3,4,5,4,7,18,9,16,11,10,13,11,12,9,17,5,15,10,8,8,12,19,11,16,16,22,16,34,26,33,43,44,38,39,33,44,59,52,71,70,78,74,107,117,115,127,157,192,194,193,183,235,248,253,229,244,283,361,324,392,437,428,473
2008,1,m,393,27,13,12,6,8,5,4,5,4,10,4,3,5,12,10,25,27,24,29,35,42,28,46,47,34,50,52,54,53,74,53,66,76,82,85,99,99,134,96,121,133,165,149,152,144,201,195,180,215,225,211,242,245,255,257,275,320,328,389,410,479,422,443,462,473,493,465,577,582,634,693,679,673,684
2008,2,m,292,13,10,6,3,5,5,4,5,4,5,3,5,3,6,12,15,17,24,23,38,20,41,34,25,34,33,38,54,37,31,32,45,55,57,80,64,59,88,72,87,100,93,94,114,122,117,125,141,162,159,170,167,192,190,235,249,263,266,298,332,376,339,387,392,423,394,420,463,545,534,565,567,626,628
2008,3,m,256,15,7,5,5,7,3,6,6,4,3,2,4,5,5,9,9,21,24,24,30,19,27,26,32,30,43,37,30,36,38,45,39,46,53,60,68,68,58,68,81,87,73,102,104,108,106,128,120,143,151,158,171,139,197,196,209,226,240,287,304,341,314,355,393,363,362,354,420,458,495,483,529,584,559
2008,4,m,186,15,7,7,6,5,5,3,2,3,5,5,4,5,3,7,5,18,17,16,30,19,26,23,27,21,26,23,33,30,25,27,25,44,35,40,48,61,66,60,65,85,75,96,85,97,105,94,93,104,108,126,113,122,160,172,193,191,214,244,286,318,269,351,338,344,362,403,432,467,494,517,511,564,542
2008,5,m,139,9,4,2,4,5,1,1,0,1,2,2,6,4,1,5,9,15,25,23,20,25,20,21,26,23,33,23,24,25,25,26,24,33,32,50,33,41,53,38,48,63,66,66,68,82,83,92,103,100,116,109,127,126,147,166,163,212,210,213,278,307,302,319,334,332,345,339,416,441,463,447,523,570,593
2008,6,m,128,6,7,6,2,3,2,0,1,2,3,1,2,5,3,9,13,15,20,19,17,28,15,27,15,20,20,17,19,26,23,19,21,35,37,31,35,39,47,44,46,47,48,70,67,81,67,82,88,87,103,108,87,107,135,166,151,164,172,250,282,295,295,310,311,332,342,310,399,414,425,469,519,561,573
2008,7,m,107,5,5,4,1,2,0,3,4,2,3,5,2,1,6,3,5,15,18,15,23,18,19,12,20,19,20,16,19,19,18,27,21,27,25,25,23,26,30,49,61,52,49,60,54,57,67,70,78,68,94,104,103,103,123,146,134,157,176,210,239,289,270,302,333,318,286,337,370,403,421,441,528,536,552
2008,8,m,125,5,3,6,6,3,2,2,3,3,1,2,4,6,2,3,12,11,10,23,20,18,16,18,21,12,17,14,16,20,16,16,13,15,22,45,23,24,36,39,37,42,42,43,43,62,69,76,81,73,95,91,99,100,100,126,128,155,184,190,267,267,262,258,279,307,311,323,366,378,419,469,465,503,493
2008,9,m,99,9,2,1,3,2,2,4,1,2,1,3,1,3,3,6,9,14,10,15,15,8,20,24,18,15,12,16,16,10,13,19,17,12,34,30,28,23,33,33,30,35,38,49,50,63,51,68,53,70,71,77,74,112,98,104,136,144,131,183,211,245,229,251,279,270,283,287,322,389,427,425,420,515,470
2008,10,m,85,8,2,4,3,6,3,2,6,2,3,2,0,0,5,4,13,9,10,15,17,9,11,11,7,10,11,19,11,8,12,16,8,12,17,24,21,25,21,44,28,38,32,39,44,48,45,71,65,61,74,66,76,99,105,100,113,115,140,154,183,240,198,229,233,247,241,222,266,290,323,383,426,432,412
2009,1,m,338,22,15,5,4,13,4,4,5,4,2,7,2,10,6,10,15,19,26,24,29,42,32,46,49,44,54,41,54,51,65,46,64,53,75,83,86,98,107,109,141,141,141,148,181,141,157,166,158,199,181,227,234,254,243,284,293,311,331,362,416,440,460,401,456,456,458,486,533,594,561,634,671,645,679
2009,2,m,247,11,13,3,6,7,4,2,6,2,1,4,2,5,3,15,9,22,29,23,27,32,24,30,32,35,33,45,48,45,56,42,40,35,71,62,66,77,86,108,104,100,114,101,128,135,129,122,151,143,167,172,195,152,197,239,239,223,260,271,312,379,348,355,367,344,393,405,447,483,525,549,585,582,627
2009,3,m,227,11,6,7,3,3,3,1,4,3,4,3,6,7,5,9,17,15,18,23,27,26,22,27,30,27,43,31,36,39,33,31,39,37,48,52,46,56,68,67,86,78,95,91,108,115,111,103,122,139,130,151,143,182,172,169,204,201,255,285,281,318,358,338,318,379,389,377,425,431,468,511,500,579,630
2009,4,m,210,12,2,1,2,2,8,4,3,1,3,3,2,1,7,10,12,14,15,17,21,27,21,24,17,24,26,23,26,24,34,26,22,32,27,52,57,48,51,56,64,68,71,68,79,88,108,92,102,118,103,142,142,141,147,181,181,179,213,233,270,286,351,331,311,329,380,363,382,430,435,489,489,552,560
2009,5,m,161,9,6,3,3,2,2,0,4,4,6,1,3,6,3,7,3,17,17,22,18,18,19,20,23,24,22,26,27,26,23,17,24,29,34,55,33,44,49,55,68,64,59,72,69,95,93,108,100,103,110,104,86,144,126,160,174,202,207,218,292,296,326,298,324,367,348,378,345,412,410,459,505,517,548
2009,6,m,137,8,7,1,4,4,1,4,1,2,2,4,4,6,6,6,7,18,18,13,19,13,21,14,16,19,18,15,20,21,25,22,23,29,17,25,34,31,48,47,42,49,43,73,74,83,78,75,76,86,94,113,107,128,134,137,160,165,208,216,225,271,332,273,315,341,366,324,344,406,404,480,488,560,552
